GeneID	Gene_me	logFC	P_Value	adj_P_Val
TRINITY_DN3176_c5_g1		-2.812285615	0.001093552	0.01270454
TRINITY_DN46210_c0_g2		-2.811621402	0.003255171	0.026070079
TRINITY_DN6393_c9_g2		-2.81088263	0.000492263	0.007677762
TRINITY_DN29516_c1_g2		-2.805377382	0.000984848	0.011849646
TRINITY_DN41301_c0_g1		-2.802217714	2.93E-05	0.001406599
TRINITY_DN83786_c0_g1		-2.801538369	0.000763802	0.010073313
TRINITY_DN56678_c0_g1		-2.801144225	0.000238466	0.004854853
TRINITY_DN8501_c2_g1		-2.796126767	0.0001945	0.004280305
TRINITY_DN17439_c2_g2		-2.791333332	0.000858313	0.010853798
TRINITY_DN22686_c0_g4	R3HDM1 KIAA0029 R3HDM	-2.787522294	2.33E-05	0.001229804
TRINITY_DN4507_c2_g1		-2.785038744	5.99E-05	0.002123749
TRINITY_DN76093_c0_g1		-2.78502081	0.001809795	0.017712989
TRINITY_DN150317_c0_g1		-2.780606765	0.001472066	0.015453442
